UID          PID    PPID  C STIME TTY          TIME CMD
root          59       2  0 15:13 ?        00:00:00 [irq/23-pciehp]
root          60       2  0 15:13 ?        00:00:00 [irq/24-pciehp]
root          61       2  0 15:13 ?        00:00:00 [irq/25-pciehp]
root          62       2  0 15:13 ?        00:00:00 [irq/26-pciehp]
root          63       2  0 15:13 ?        00:00:00 [irq/27-pciehp]
root          64       2  0 15:13 ?        00:00:00 [irq/28-pciehp]
root          65       2  0 15:13 ?        00:00:00 [irq/29-pciehp]
root          66       2  0 15:13 ?        00:00:00 [irq/30-pciehp]
root          67       2  0 15:13 ?        00:00:00 [irq/31-pciehp]
root          68       2  0 15:13 ?        00:00:00 [irq/32-pciehp]
root          69       2  0 15:13 ?        00:00:00 [irq/33-pciehp]
root          70       2  0 15:13 ?        00:00:00 [irq/34-pciehp]
root          71       2  0 15:13 ?        00:00:00 [irq/35-pciehp]
root          72       2  0 15:13 ?        00:00:00 [irq/36-pciehp]
root          73       2  0 15:13 ?        00:00:00 [irq/37-pciehp]
root          74       2  0 15:13 ?        00:00:00 [irq/38-pciehp]
root          75       2  0 15:13 ?        00:00:00 [irq/39-pciehp]
root          76       2  0 15:13 ?        00:00:00 [irq/40-pciehp]
root          77       2  0 15:13 ?        00:00:00 [irq/41-pciehp]
root          78       2  0 15:13 ?        00:00:00 [irq/42-pciehp]
root          79       2  0 15:13 ?        00:00:00 [irq/43-pciehp]
root          80       2  0 15:13 ?        00:00:00 [irq/44-pciehp]
root          81       2  0 15:13 ?        00:00:00 [irq/45-pciehp]
root          82       2  0 15:13 ?        00:00:00 [irq/46-pciehp]
root          83       2  0 15:13 ?        00:00:00 [acpi_thermal_pm]
root          84       2  0 15:13 ?        00:00:00 [xenbus_probe]
root          85       2  0 15:13 ?        00:00:00 [mld]
root          86       2  0 15:13 ?        00:00:00 [ipv6_addrconf]
root          91       2  0 15:13 ?        00:00:00 [kstrp]
root          96       2  0 15:13 ?        00:00:00 [zswap-shrink]
root          97       2  0 15:13 ?        00:00:00 [kworker/u5:0]
root          99       2  0 15:13 ?        00:00:00 [kworker/0:2-events]
root         181       2  0 15:13 ?        00:00:00 [kworker/1:1H-kblockd]
root         193       2  0 15:13 ?        00:00:00 [irq/56-vmwgfx]
root         194       2  0 15:13 ?        00:00:00 [ata_sff]
root         198       2  0 15:13 ?        00:00:00 [irq/57-vmwgfx]
root         200       2  0 15:13 ?        00:00:00 [irq/58-vmwgfx]
root         201       2  0 15:13 ?        00:00:00 [irq/59-vmwgfx]
root         204       2  0 15:13 ?        00:00:00 [irq/60-vmwgfx]
root         207       2  0 15:13 ?        00:00:00 [irq/61-vmwgfx]
root         209       2  0 15:13 ?        00:00:00 [ttm]
root         213       2  0 15:13 ?        00:00:00 [nvme-wq]
root         214       2  0 15:13 ?        00:00:00 [nvme-reset-wq]
root         215       2  0 15:13 ?        00:00:00 [nvme-delete-wq]
root         217       2  0 15:13 ?        00:00:00 [scsi_eh_0]
root         218       2  0 15:13 ?        00:00:00 [scsi_tmf_0]
root         219       2  0 15:13 ?        00:00:00 [scsi_eh_1]
root         220       2  0 15:13 ?        00:00:00 [scsi_tmf_1]
root         221       2  0 15:13 ?        00:00:00 [scsi_eh_2]
root         222       2  0 15:13 ?        00:00:00 [scsi_tmf_2]
root         223       2  0 15:13 ?        00:00:00 [scsi_eh_3]
root         224       2  0 15:13 ?        00:00:00 [scsi_tmf_3]
root         225       2  0 15:13 ?        00:00:00 [scsi_eh_4]
root         226       2  0 15:13 ?        00:00:00 [scsi_tmf_4]
root         227       2  0 15:13 ?        00:00:00 [scsi_eh_5]
root         228       2  0 15:13 ?        00:00:00 [scsi_tmf_5]
root         229       2  0 15:13 ?        00:00:00 [scsi_eh_6]
root         230       2  0 15:13 ?        00:00:00 [scsi_tmf_6]
root         233       2  0 15:13 ?        00:00:00 [scsi_eh_7]
root         235       2  0 15:13 ?        00:00:00 [scsi_tmf_7]
root         237       2  0 15:13 ?        00:00:00 [scsi_eh_8]
root         239       2  0 15:13 ?        00:00:00 [scsi_tmf_8]
root         240       2  0 15:13 ?        00:00:00 [scsi_eh_9]
root         241       2  0 15:13 ?        00:00:00 [scsi_tmf_9]
root         242       2  0 15:13 ?        00:00:00 [scsi_eh_10]
root         243       2  0 15:13 ?        00:00:00 [scsi_tmf_10]
root         244       2  0 15:13 ?        00:00:00 [scsi_eh_11]
root         245       2  0 15:13 ?        00:00:00 [scsi_tmf_11]
root         246       2  0 15:13 ?        00:00:00 [scsi_eh_12]
root         247       2  0 15:13 ?        00:00:00 [scsi_tmf_12]
root         248       2  0 15:13 ?        00:00:00 [scsi_eh_13]
root         250       2  0 15:13 ?        00:00:00 [scsi_tmf_13]
root         251       2  0 15:13 ?        00:00:00 [scsi_eh_14]
root         252       2  0 15:13 ?        00:00:00 [scsi_tmf_14]
root         253       2  0 15:13 ?        00:00:00 [scsi_eh_15]
root         254       2  0 15:13 ?        00:00:00 [scsi_tmf_15]
root         255       2  0 15:13 ?        00:00:00 [scsi_eh_16]
root         256       2  0 15:13 ?        00:00:00 [scsi_tmf_16]
root         257       2  0 15:13 ?        00:00:00 [scsi_eh_17]
root         258       2  0 15:13 ?        00:00:00 [scsi_tmf_17]
root         259       2  0 15:13 ?        00:00:00 [scsi_eh_18]
root         260       2  0 15:13 ?        00:00:00 [scsi_tmf_18]
root         261       2  0 15:13 ?        00:00:00 [scsi_eh_19]
root         262       2  0 15:13 ?        00:00:00 [scsi_tmf_19]
root         263       2  0 15:13 ?        00:00:00 [scsi_eh_20]
root         264       2  0 15:13 ?        00:00:00 [scsi_tmf_20]
root         265       2  0 15:13 ?        00:00:00 [scsi_eh_21]
root         266       2  0 15:13 ?        00:00:00 [scsi_tmf_21]
root         267       2  0 15:13 ?        00:00:00 [scsi_eh_22]
root         268       2  0 15:13 ?        00:00:00 [scsi_tmf_22]
root         269       2  0 15:13 ?        00:00:00 [scsi_eh_23]
root         270       2  0 15:13 ?        00:00:00 [scsi_tmf_23]
root         271       2  0 15:13 ?        00:00:00 [scsi_eh_24]
root         272       2  0 15:13 ?        00:00:00 [scsi_tmf_24]
root         273       2  0 15:13 ?        00:00:00 [scsi_eh_25]
root         274       2  0 15:13 ?        00:00:00 [scsi_tmf_25]
root         275       2  0 15:13 ?        00:00:00 [scsi_eh_26]
root         276       2  0 15:13 ?        00:00:00 [scsi_tmf_26]
root         277       2  0 15:13 ?        00:00:00 [scsi_eh_27]
root         278       2  0 15:13 ?        00:00:00 [scsi_tmf_27]
root         279       2  0 15:13 ?        00:00:00 [scsi_eh_28]
